Table S1. Identification and collection information for all specimens submitted to BOLD in this study.,,,,
NID #,Species name,Collection location,GenBank COI Acc. #,Other GenBank Accessions associated with the specimen
P214071,Criconema sp.,"Costa Rica: Braulio Carrillo National Park, Heredia Province",MN710792,HM115997 (18S-3’)
P214072,Criconema sp.,"Costa Rica: Braulio Carrillo National Park, Heredia Province",MN710793,HM115998 (18S-3’)
P214073,Criconema sp.,"Costa Rica: Braulio Carrillo National Park, Heredia Province",MN710794,HM115999 (18S-3’)
N1000,Criconema sphagni,"USA: Albright Grove, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710795,
N1027,Criconema sphagni,"USA: Albright Grove, Great Smoky Mountains National Park (GRSM), Cocke County, Tennessee",MN710796,
N2734,Criconema sphagni,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710797,
N2745,Criconema sphagni,"USA: Purchase Knob, Great Smoky Mountains National Park (GRSM), Haywood County, North Carolina",MN710798,
N2758,Criconema sphagni,"USA: Trillium Gap, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770912,MF094935 (NC18S)
N2759,Criconema sphagni,"USA: Trillium Gap, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MF770913,MF094936 (NC18S)
N2777,Criconema sphagni,"USA: Trillium Gap, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710799,
N2803,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710800,
N2804,Criconema sphagni,"USA: Twin Creeks, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710801,
